name,state
Acharaya N.G.Ranga Agricultural University,Andhra Pradesh
Acharya Nagarjuna University,Andhra Pradesh
Adikavi Nannaya University,Andhra Pradesh
Dr. N.T.R. University of Health Sciences,Andhra Pradesh
Andhra University,Andhra Pradesh
Dr. B.R.Ambedkar University,Andhra Pradesh
Dravidian University,Andhra Pradesh
Jawaharlal Nehru Technological University (Kainada),Andhra Pradesh
Jawaharlal Nehru Technological University (Anantapur),Andhra Pradesh
Krishna University,Andhra Pradesh
Rayalaseema University,Andhra Pradesh
Sri krishnadevaraya University,Andhra Pradesh
Sri Padmavati Mahila Vishwavidyalayam,Andhra Pradesh
Sri Venkateswara University,Andhra Pradesh
Sri Venkateswara Vedic University,Andhra Pradesh
Sri Venkateswara Veterinary University,Andhra Pradesh
Vikrama Simhapuri University,Andhra Pradesh
Yogi Vemana University,Andhra Pradesh
Damodaram Sanjivayya National Law University,Andhra Pradesh
Dr. Y.S.R. Horticultural University,Andhra Pradesh
Sri Venkateswara Institute of Medical Sciences,Andhra Pradesh
Dr. Abdul Haq Urdu University,Andhra Pradesh
Rajiv Gandhi University of Knowledge Technologies,Andhra Pradesh
Dr Y. S. R. Architecture & Fine Arts University,Andhra Pradesh
Cluster University,Andhra Pradesh
Jawaharlal Nehru Technological University,Andhra Pradesh
Andhra Kesari University,Andhra Pradesh
Birangana Sati Sadhani Rajyik Vishwavidyalaya,Assam
Madhabdev University,Assam
Sri Sri Aniruddhdeva Sports University,Assam
"Majuli University of Culture,",Assam
Rabindranath Tagore University,Assam
Bhattadev University,Assam
Assam Women's University,Assam
National Law University and Judicial Academy,Assam
Bodoland University,Assam
Assam Rajiv Gandhi University of Co-operative Management,Assam
Assam Science & Technology University,Assam
Kumar Bhaskar Varma Sanskrit & Ancient Studies University,Assam
Cotton University,Assam
Srimanta Sankaradeva University of Health Sciences,Assam
Krishna Kanta Handiqui State Open University,Assam
Gauhati University,Assam
Dibrugarh University,Assam
Assam Agricultural University,Assam
Babasaheb Bhimrao Ambedkar Bihar University,Bihar
Bhupendra Narayan Mandal University,Bihar
Chanakya National Law University,Bihar
Lalit Narayan Mithila University,Bihar
Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya,Bihar
Jai Prakash vishwavidyalaya(university),Bihar
Magadh University,Bihar
Maulana Mazharul Haque Arabic & Persian University,Bihar
Nalanda Open University,Bihar
Bihar Agricultural University,Bihar
Patna University,Bihar
Arybhatta Knowledge University,Bihar
Veer Kunwar Singh University,Bihar
T.M. Bhagalpur University,Bihar
Rajendra Agricultural University,Bihar
Munger University,Bihar
Purnea University,Bihar
Patliputra University,Bihar
Bihar Animal Sciences University,Bihar
Punjab University,Chandigarh
Ayush and Health Sciences University of Chhattisgarh,Chhattisgarh
Atal Bihari Bajpayee Vishwavidyalaya (Formerly Bilaspur Vishwavidyalaya),Chhattisgarh
Chhattisgarh Kamdhenu Vishwavidyalaya,Chhattisgarh
Sant Gahira Guru Vishwavidyalaya (formerly Sarguja University),Chhattisgarh
Pandit Sundarlal Sharma (Open) University,Chhattisgarh
Pt. Ravishankar Shukla University,Chhattisgarh
Hidayatullah National Law University,Chhattisgarh
Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,Chhattisgarh
Chhattisgarh Swami Vivekanad Technical Universty,Chhattisgarh
Shaheed Mahendra Karma Vishvidyalaya,Chhattisgarh
Indira Gandhi Krishi Vishwavidyalaya,Chhattisgarh
Indira Kala Sangeet Vishwavidyalaya,Chhattisgarh
Mahatma Gandhi Udyanikee and Vanikee Vishwavidyalaya,Chhattisgarh
Shaheed Nandkumar Patel Vishwavidyalaya,Chhattisgarh
Hemchand Yadav Vishwavidyalaya(Earlier known as Durg Vishwavidyalaya),Chhattisgarh
International Institute of Information Technology,Chhattisgarh
Indira Gandhi Delhi Technical University for Women,Delhi
Delhi Pharmaceutical Sciences & Research University,Delhi
Delhi Skill and Entrepreneurship University,Delhi
Delhi Sports University,Delhi
Delhi Teachers University,Delhi
Netaji Subhas University of Technology,Delhi
National Law University,Delhi
Indraprastha Institute of Information Technology,Delhi
Guru Gobind Singh Indraprastha Vishwavidyalaya,Delhi
Delhi Technological University,Delhi
Dr. B.R. Ambedkar University,Delhi
Goa University,Goa
Gujarat Ayurveda University,Gujarat
Gujarat National Law University,Gujarat
Gujarat Technological University,Gujarat
Gujarat University,Gujarat
Hemchandracharya North Gujarat University,Gujarat
Dharmsinh Desai University,Gujarat
Dr. Babasaheb Ambedkar Open University,Gujarat
Anand Agricultural University,Gujarat
Krishnakumarsinhji Bhavnagar University,Gujarat
Krantiguru Shyamji Krishna Verma Kachchh University,Gujarat
Maharaja Sayajirao University of Baroda,Gujarat
Junagarh Agricultural University,Gujarat
Swarnim Gujarat Sports University,Gujarat
Indian Institute of Teacher Education,Gujarat
Children's University,Gujarat
Sardar Patel University,Gujarat
Saurashtra University,Gujarat
Shree Somnath Sanskrit University,Gujarat
Veer Narmad South Gujarat University,Gujarat
Birsa Munda Tribal University,Gujarat
Gujarat Biotechnology University,Gujarat
Gujarat University of Transplantation Sciences,Gujarat
Institute of Infrastructure Technology Research and Management,Gujarat
Navsari Agriculture University,Gujarat
Bhakta Kavi Narsinh Mehta University,Gujarat
Shri Govind Guru University,Gujarat
Sardar Krushinagar Dantiwada Agricultural University,Gujarat
Kamdhenu University,Gujarat
Shri Vishwakarma Skill University,Haryana
Maharana Partap Horticultural University,Haryana
Chaudhary Bansi Lal University,Haryana
Chaudhary Ranbir Singh University,Haryana
Pandit Lakhmi Chand State University of Performing and Visual Arts (SUPVA),Haryana
Shri Krishna AYUSH University,Haryana
Maharishi Balmiki Sanskrit University,Haryana
Gurugram University,Haryana
Dr. B.R. Ambedkar National Law University,Haryana
Pt. Bhagwat Dayal Sharma University of Health Sciences,Haryana
Indira Gandhi University,Haryana
Lala Lajpat Rai University of Veterinary & Animal Sciences,Haryana
"J. C. Bose University of Science & Technology, YMCA",Haryana
Maharishi Dayanand University,Haryana
Kurukshetra University,Haryana
Choudhary Charan Singh Haryana Agricultural Univeersity,Haryana
Chaudhary Devi Lal University,Haryana
Bhagat Phool Singh Mahila Vishwavidyalaya,Haryana
Deen Bandhu Chhotu Ram University of Sciences & Technology,Haryana
Guru Jambeshwar University of Science and Technology,Haryana
Dr. Y.S.Parmar University of Horticulture & Forestry,Himachal Pradesh
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,Himachal Pradesh
Himachal Pradesh University,Himachal Pradesh
Himachal Pradesh Technical University,Himachal Pradesh
Atal Medical and Research University(Formerly Himachal Pradesh University of Health Sciences),Himachal Pradesh
Sardar Vallabhbhai Patel Cluster University,Himachal Pradesh
Himachal Pradesh National Law University,Himachal Pradesh
Cluster University of Srinagar,Jammu and Kashmir
Cluster University of Jammu,Jammu and Kashmir
"Sher-e-Kashmir University of Agricultural Science & Technology, Jammu",Jammu and Kashmir
Sher-e-Kashmir University of Agricultural Science & Technology,Jammu and Kashmir
Shri Mata Vaishno Devi University,Jammu and Kashmir
Jammu University,Jammu and Kashmir
Kashmir University,Jammu and Kashmir
Islamic University of Sciences & Technology University,Jammu and Kashmir
Baba Ghulam Shah Badshah University,Jammu and Kashmir
Birsa Agricultural University,Jharkhand
Kolhan University,Jharkhand
Sido Kanhu Murmu University,Jharkhand
Ranchi University,Jharkhand
Nilamber-Pitamber University,Jharkhand
National University of Study & Research in Law,Jharkhand
Vinoba Bhave University,Jharkhand
Jharkhand University of Technology,Jharkhand
Binod Bihari Mahto Koylanchal University,Jharkhand
Dr. Shyama Prasad Mukherjee University,Jharkhand
Jharkhand Raksha Shakti University,Jharkhand
University of Horticultural Sciences,Karnataka
Karnataka State Rural Development and Panchayat Raj University,Karnataka
University of Agricultural Sciences,Karnataka
Bengaluru North University,Karnataka
Bengaluru Central University,Karnataka
Mandya University,Karnataka
Bengaluru Dr. B. R. Ambedkar School of Economics University,Karnataka
Karnataka Janapada Vishwavidyalaya,Karnataka
Nrupathunga University,Karnataka
Raichur University,Karnataka
Maharani Cluster University,Karnataka
Vesveswaraiah Technological University,Karnataka
Rani Channamma University,Karnataka
Vijayanagara Sri Krishnadevaraya University,Karnataka
Karnataka Samskrit University,Karnataka
KSGH Music and Performing Arts University,Karnataka
Karnataka Folklore University,Karnataka
Rajiv Gandhi University of Health Science,Karnataka
Tumkur University,Karnataka
University of Agricultural Sciences Banglore,Karnataka
University of Agricultural Sciences Dharwad,Karnataka
"Akkamahadevi women's University (Formerly known as ""Karnataka State Women's University)",Karnataka
Karnataka University,Karnataka
"Karnataka Veterinary, Animal & Fisheries Science University",Karnataka
Kuvempu University,Karnataka
Karnataka State Law University,Karnataka
Karnataka State Open University,Karnataka
Kannada University,Karnataka
National law School of India University,Karnataka
Mysore University,Karnataka
Mangalore University,Karnataka
Bangalore University,Karnataka
Gulbarga University,Karnataka
Davangere University,Karnataka
Cochin Unviersity of Science & Technology,Kerala
Calicut University,Kerala
National University of Advanced Legal Studies (NUALS),Kerala
Mahatma Gandhi Unversity,Kerala
Kannur University,Kerala
Kerala University,Kerala
Kerala Agricultural Unviersity,Kerala
Shree Sankaracharaya University of Sanskrit,Kerala
Thunchath Ezhuthachan Malayalam University,Kerala
Kerala University of Fisheries & Ocean Studies,Kerala
Kerala Veterinary & Animal Sciences University,Kerala
Kerala University of Health Sciences,Kerala
Sree Narayanguru Open University,Kerala
Kerala University of Digital Sciences Innovation and Technology,Kerala
A.P.J. Abdul Kalam Technological University,Kerala
University of Ladakh,Ladakh
"Raja Shankar Shah University, Chhindwara",Madhya Pradesh
Sanchi University of Buddhist-Indic Studies,Madhya Pradesh
Maharaja Chhatrasal Bundelkhand Vishwavidyalaya,Madhya Pradesh
Dr. B. R. Ambedkar University of Social Sciences,Madhya Pradesh
Dharmashastra National Law University,Madhya Pradesh
Pandit S N Shukla University,Madhya Pradesh
Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidyalaya,Madhya Pradesh
Vikram University,Madhya Pradesh
Raja Mansingh Tomar Music & Arts University,Madhya Pradesh
Atal Bihari Vajpayee Hindi Vishwavidyalaya,Madhya Pradesh
Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya,Madhya Pradesh
Rajiv Gandhi Prodoyogiki Vishwavidyalaya,Madhya Pradesh
Rani Durgavati Vishwavidyalaya,Madhya Pradesh
Jiwaji University,Madhya Pradesh
Jawaharlal Nehru Krishi Vishwavidyalaya,Madhya Pradesh
Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya,Madhya Pradesh
Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya,Madhya Pradesh
M.P.Bhoj (open) University,Madhya Pradesh
National Law Institute University,Madhya Pradesh
Makhanlal Chaturvedi National University of Journalism & Communication,Madhya Pradesh
Barkatullaah University,Madhya Pradesh
Awadesh Pratap Singh University,Madhya Pradesh
Devi Ahilya Vishwavidyalaya,Madhya Pradesh
Dr. Babasaheb Ambedkar Marathwada University,Maharashtra
Dr. Babasaheb AmbedkarTechnological University,Maharashtra
Dr. Punjabrao Deshmukh Krishi Vidyapeeth,Maharashtra
Marathwada Agricultural University,Maharashtra
Mumbai University,Maharashtra
Maharahtra University of Health Sciences,Maharashtra
Mahatma Phule Krishi Vidyapeeth,Maharashtra
Maharashtra Animal & Fishery Sciences University,Maharashtra
Konkan Krishi Vidyapeeth,Maharashtra
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,Maharashtra
Sant Gadge Baba Amravati University,Maharashtra
Shivaji University,Maharashtra
Kavayitri Bahinabai Chadhari North Maharashtra University,Maharashtra
Savitribai Phule Pune University,Maharashtra
Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra
Swami Ramanand Teerth Marathwada University,Maharashtra
Smt. Nathibai Damodar Thackersey Women's University,Maharashtra
Punyashlok Ahilyadevi Holkar Solapur University,Maharashtra
Gondwana University,Maharashtra
Yashwant Rao Chavan Maharashtra Open University,Maharashtra
Maharashtra National Law University,Maharashtra
"Maharashtra National Law University,",Maharashtra
Maharashtra National Law University,Maharashtra
Dr. Homi Bhabha State University,Maharashtra
"International Sports University, Maharashtra",Maharashtra
Dhanamanjuri University,Manipur
Manipur Technical University,Manipur
Manipur University of Culture,Manipur
Odisha State Open University,Orissa
Gangadhar Meher University,Orissa
Rama Devi Women's University,Orissa
Veer Surendra Sai Institute of Medical Science and Research,Orissa
Khallikote University,Orissa
International Institute of Information Technology (IIIT),Orissa
Kalahandi University,Orissa
Rajendra University,Orissa
Odisha University of Technology and Research,Orissa
Madhusudan Law University,Orissa
Veer Surendra Sai University of Technology,Orissa
National Law University,Orissa
North Orissa University,Orissa
Shri Jagannath Sanskrit Vishwavidyalaya,Orissa
Utkal University,Orissa
Utkal University of Culture,Orissa
Orissa University Of Agriculture & Technology,Orissa
Ravenshaw University,Orissa
Sambalpur University,Orissa
Fakir Mohan University,Orissa
Berhampur University,Orissa
Biju Patnaik University of Technology,Orissa
Puducherry Technological University,Puducherry
Shaheed Bhagat Singh University,Punjab
The Maharaja Bhupinder Singh Punjab Sports University,Punjab
Jagat Guru Nanak Dev Punjab State Open University,Punjab
Sri Guru Teg Bahadur State University of Law,Punjab
Maharaja Ranjit Singh Punjab Technical University,Punjab
Baba Farid University of Health Sciences,Punjab
Guru Angad Dev Veterinary & Animal Sciences University,Punjab
Guru Nanak Dev University,Punjab
Punjab Agriculture University,Punjab
The I.K. Gujaral Punjab Technical University,Punjab
Punjabi University,Punjab
Guru Ravidas Ayurved University,Punjab
The Rajiv Gandhi National University of Law,Punjab
Maharaja Ganga Singh University,Rajasthan
Rajasthan University of Veterinary & Animal Sciences,Rajasthan
"Sardar Patel University of Police, Security & Criminal Justice",Rajasthan
Pandit Deendayal Upadhyaya Shekhawati University,Rajasthan
Swami Keshwanand Rajasthan Agricultural University,Rajasthan
Rajasthan Ayurveda University,Rajasthan
Rajasthan Technical University,Rajasthan
Rajasthan University,Rajasthan
Rajasthan University of Health Sciences,Rajasthan
University of Kota,Rajasthan
Vardhman Mahaveer Open University,Rajasthan
Jagadguru Ramanandacharya Sanskrit University,Rajasthan
Jai Narain Vyas University,Rajasthan
Maharishi Dayanand Saraswati University,Rajasthan
Maharana Pratap University of Agriculture & Technology,Rajasthan
Mohanlal Sukhadia University,Rajasthan
National Law University,Rajasthan
Raj Rishi Bhartrihari Matsya University,Rajasthan
Maharaja Surajmal Brij University,Rajasthan
Govind Guru Tribal University,Rajasthan
Rajasthan ILD Skills University (RISU),Rajasthan
Haridev Joshi University of Journalism and Mass Communication,Rajasthan
"Dr. Bhimrao Ambedkar Law University, Jaipur",Rajasthan
Bikaner Technical University,Rajasthan
Agriculture University,Rajasthan
Sikkim National Law University,Sikkim
"Khangchendzonga State University, Sikkim",Sikkim
Mother Teresa Women's University,Tamil Nadu
Manonmaniam Sundarnar University,Tamil Nadu
Madras University,Tamil Nadu
Madurai Kamraj University,Tamil Nadu
Anna University,Tamil Nadu
Annamalai University,Tamil Nadu
Alagappa University,Tamil Nadu
Bharathiar University,Tamil Nadu
Bharathidasan University,Tamil Nadu
Thiruvalluvar University,Tamil Nadu
Tamil Nadu Open University,Tamil Nadu
Tamil Nadu Teacher Education University,Tamil Nadu
Tamil University,Tamil Nadu
Tamilnadu Agricultural University,Tamil Nadu
